frame_idx,file_name,frame,area_px,centroid_y,centroid_x,mean_intensity,max_intensity
0,ch20_URA7_URA8_001-crop1.tif,0,222,67.7252,67.9324,0.0038,0.0043
1,ch20_URA7_URA8_001-crop1.tif,1,203,65.4532,67.9655,0.0037,0.0043
2,ch20_URA7_URA8_001-crop1.tif,2,192,51.0156,64.3073,0.0031,0.0036
3,ch20_URA7_URA8_001-crop1.tif,3,170,54.2294,67.7824,0.0030,0.0035
4,ch20_URA7_URA8_001-crop1.tif,4,182,51.6374,60.1484,0.0031,0.0039
5,ch20_URA7_URA8_001-crop1.tif,5,228,53.0614,65.4342,0.0031,0.0038
6,ch20_URA7_URA8_001-crop1.tif,6,203,54.8227,63.8325,0.0030,0.0036
7,ch20_URA7_URA8_001-crop1.tif,7,192,55.1042,62.0938,0.0030,0.0037
8,ch20_URA7_URA8_001-crop1.tif,8,214,56.2336,63.0935,0.0030,0.0040
9,ch20_URA7_URA8_001-crop1.tif,9,221,58.1584,60.7783,0.0030,0.0053
10,ch20_URA7_URA8_001-crop1.tif,10,183,55.1585,62.7049,0.0029,0.0037
11,ch20_URA7_URA8_001-crop1.tif,11,220,57.1864,64.8682,0.0028,0.0034
12,ch20_URA7_URA8_001-crop1.tif,12,198,58.3485,65.1414,0.0029,0.0034
13,ch20_URA7_URA8_001-crop1.tif,13,136,54.4338,63.3897,0.0028,0.0032
14,ch20_URA7_URA8_001-crop1.tif,14,163,53.0798,64.1718,0.0028,0.0033
15,ch20_URA7_URA8_001-crop1.tif,15,162,53.9012,65.0864,0.0028,0.0033
16,ch20_URA7_URA8_001-crop1.tif,16,120,57.0583,67.9750,0.0028,0.0032
17,ch20_URA7_URA8_001-crop1.tif,17,152,57.4803,63.4211,0.0028,0.0031
18,ch20_URA7_URA8_001-crop1.tif,18,175,58.8743,61.9143,0.0028,0.0032
19,ch20_URA7_URA8_001-crop1.tif,19,176,60.9261,63.2955,0.0028,0.0033
20,ch20_URA7_URA8_001-crop1.tif,20,116,57.2931,62.1034,0.0027,0.0031
21,ch20_URA7_URA8_001-crop1.tif,21,110,59.3727,63.7273,0.0028,0.0031
22,ch20_URA7_URA8_001-crop1.tif,22,159,54.2830,62.8302,0.0028,0.0032
23,ch20_URA7_URA8_001-crop1.tif,23,166,52.3373,62.4337,0.0027,0.0033
24,ch20_URA7_URA8_001-crop1.tif,24,185,53.4811,62.8595,0.0027,0.0032
25,ch20_URA7_URA8_001-crop1.tif,25,186,55.5645,63.0269,0.0027,0.0032
26,ch20_URA7_URA8_001-crop1.tif,26,135,64.3259,62.7111,0.0027,0.0032
27,ch20_URA7_URA8_001-crop1.tif,27,178,55.8989,58.7191,0.0027,0.0030
28,ch20_URA7_URA8_001-crop1.tif,28,166,54.1687,58.7289,0.0027,0.0031
29,ch20_URA7_URA8_001-crop1.tif,29,167,61.3593,59.3772,0.0027,0.0031
30,ch20_URA7_URA8_001-crop1.tif,30,131,59.1069,57.8550,0.0027,0.0031
31,ch20_URA7_URA8_001-crop1.tif,31,115,67.9043,64.6087,0.0027,0.0031
32,ch20_URA7_URA8_001-crop1.tif,32,167,58.8084,62.4790,0.0027,0.0031
33,ch20_URA7_URA8_001-crop1.tif,33,191,60.4712,65.5131,0.0027,0.0029
34,ch20_URA7_URA8_001-crop1.tif,34,137,56.8102,65.6204,0.0027,0.0031
35,ch20_URA7_URA8_001-crop1.tif,35,149,59.7584,68.5503,0.0027,0.0031
36,ch20_URA7_URA8_001-crop1.tif,36,172,56.9012,61.2326,0.0027,0.0030
37,ch20_URA7_URA8_001-crop1.tif,37,103,60.7767,64.5243,0.0027,0.0033
38,ch20_URA7_URA8_001-crop1.tif,38,136,66.8824,66.5441,0.0027,0.0031
39,ch20_URA7_URA8_001-crop1.tif,39,139,61.6763,63.2302,0.0027,0.0030
40,ch20_URA7_URA8_001-crop1.tif,40,145,63.1724,60.5931,0.0027,0.0030
41,ch20_URA7_URA8_001-crop1.tif,41,150,66.0800,65.9933,0.0027,0.0032
42,ch20_URA7_URA8_001-crop1.tif,42,118,55.4576,65.1695,0.0027,0.0031
43,ch20_URA7_URA8_001-crop1.tif,43,107,63.1963,68.3271,0.0027,0.0030
44,ch20_URA7_URA8_001-crop1.tif,44,135,55.4222,65.6667,0.0027,0.0031
45,ch20_URA7_URA8_001-crop1.tif,45,167,53.0659,63.6108,0.0027,0.0031
46,ch20_URA7_URA8_001-crop1.tif,46,126,62.1111,64.7540,0.0027,0.0030
47,ch20_URA7_URA8_001-crop1.tif,47,150,61.5467,62.2267,0.0026,0.0030
48,ch20_URA7_URA8_001-crop1.tif,48,140,65.7000,62.9214,0.0026,0.0033
49,ch20_URA7_URA8_001-crop1.tif,49,120,68.1833,62.5833,0.0027,0.0036
50,ch20_URA7_URA8_001-crop2.tif,0,266,74.8947,84.8571,0.0032,0.0042
51,ch20_URA7_URA8_001-crop2.tif,1,282,73.3688,84.3050,0.0031,0.0038
52,ch20_URA7_URA8_001-crop2.tif,2,280,68.2036,82.3500,0.0028,0.0035
53,ch20_URA7_URA8_001-crop2.tif,3,209,67.0622,81.8038,0.0027,0.0033
