epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5445,2.66502,4.22401,21.7313,1.93541,0,0,0,0,0,0,0,0,0,3.19939,5.88436,inf,2.99088,0,0.000651852,0.000651852,0.000651852
2,8.45492,2.57014,3.72689,4.43126,1.88609,0,0.00073,0.01754,0.00016,6e-05,0.0001,0.05263,5e-05,1e-05,3.42227,9.1353,57.7737,3.2886,0,0.00130547,0.00130547,0.00130547
3,13.067,2.31939,3.16419,2.29585,1.82993,0,0,0,0,0,0,0,0,0,0,1.8028,129.777,0,0,0.00194588,0.00194588,0.00194588
4,17.2105,2.35459,3.2295,2.171,1.85803,0,0.39007,0.2807,0.2255,0.08752,0.46218,0.33333,0.25524,0.10031,2.21518,3.67751,3.05135,2.08421,0,0.0019406,0.0019406,0.0019406
5,21.9086,2.47618,3.14686,2.06539,1.88067,0,0.00205,0.52632,0.00142,0.00055,0.00214,0.54386,0.00161,0.00057,3.09195,nan,inf,15.0907,0,0.0019208,0.0019208,0.0019208
6,25.9992,2.32689,2.98288,2.00393,1.76573,0,0.33242,0.44559,0.29449,0.10366,0.33294,0.41161,0.27811,0.06952,2.28555,3.42414,2.02975,2.19164,0,0.001901,0.001901,0.001901
7,30.0683,2.28123,3.00587,1.92667,1.75803,0,0.26302,0.4386,0.3715,0.089,0.19208,0.38792,0.25401,0.05823,2.39673,3.20892,1.94167,2.22867,0,0.0018812,0.0018812,0.0018812
8,34.1357,2.24541,2.84061,1.68993,1.74017,0,0.46497,0.5614,0.45882,0.15374,0.36948,0.52632,0.38761,0.12122,2.39453,3.10813,1.74051,2.34438,0,0.0018614,0.0018614,0.0018614
9,38.8389,2.12153,2.8977,1.61406,1.73109,0,0.44932,0.47368,0.48661,0.17564,0.3762,0.52632,0.37905,0.11108,2.24316,3.23834,1.4919,2.11084,0,0.0018416,0.0018416,0.0018416
10,43.5648,2.28696,2.70556,1.70312,1.72435,0,0.25587,0.57895,0.28873,0.10507,0.29251,0.49325,0.33555,0.09811,2.79047,4.85938,1.99998,2.38811,0,0.0018218,0.0018218,0.0018218
11,47.7059,2.14669,2.60568,1.57037,1.66689,0,0.46734,0.52339,0.49847,0.20506,0.47936,0.50877,0.52144,0.17724,2.06701,3.46623,1.63365,1.91532,0,0.001802,0.001802,0.001802
12,52.3641,2.14461,2.77312,1.62076,1.70071,0,0.37388,0.5614,0.43193,0.15478,0.31201,0.5614,0.39598,0.13379,2.32862,3.17894,1.59709,2.03915,0,0.0017822,0.0017822,0.0017822
13,56.4946,2.13117,2.70993,1.57512,1.6698,0,0.54415,0.50877,0.53597,0.1874,0.55933,0.52632,0.57565,0.1939,2.18003,2.95293,1.61317,1.98594,0,0.0017624,0.0017624,0.0017624
14,60.5908,2.11931,2.71011,1.51538,1.69387,0,0.39699,0.45614,0.44933,0.18114,0.45624,0.47368,0.53132,0.18506,2.2412,2.98956,1.62527,2.04143,0,0.0017426,0.0017426,0.0017426
15,64.6906,2.1611,2.82651,1.61433,1.70345,0,0.61446,0.63158,0.66078,0.24093,0.62346,0.49388,0.64261,0.20226,2.08949,2.87456,1.54311,1.9079,0,0.0017228,0.0017228,0.0017228
16,69.1257,2.06415,2.71155,1.50545,1.65897,0,0.53699,0.57895,0.58953,0.22458,0.53911,0.59649,0.62683,0.19595,2.08751,2.72479,1.48263,1.8708,0,0.001703,0.001703,0.001703
17,73.1736,1.94915,2.65725,1.59825,1.58323,0,0.36409,0.5614,0.34477,0.10591,0.29974,0.57895,0.29544,0.08803,2.25607,3.07089,1.80393,2.00356,0,0.0016832,0.0016832,0.0016832
18,77.1735,2.06477,2.83283,1.67475,1.59581,0,0.45094,0.38596,0.42633,0.13005,0.26635,0.59649,0.32989,0.10964,2.23366,3.09115,1.73517,2.02527,0,0.0016634,0.0016634,0.0016634
19,81.2719,2.07398,2.71502,1.54751,1.62553,0,0.41194,0.54386,0.52055,0.19978,0.42085,0.59649,0.5428,0.17635,2.02433,2.92696,1.54489,1.86902,0,0.0016436,0.0016436,0.0016436
20,85.3318,2.05392,2.71733,1.53564,1.55435,0,0.48622,0.56454,0.52349,0.1779,0.44089,0.51191,0.486,0.13717,2.17018,3.135,1.69218,1.91689,0,0.0016238,0.0016238,0.0016238
21,89.4552,2.01868,2.50179,1.46078,1.58635,0,0.49885,0.59378,0.60643,0.24043,0.56846,0.52632,0.65069,0.21514,2.05043,2.96554,1.42894,1.88715,0,0.001604,0.001604,0.001604
